 Version bandmott1
  
      n =    8
      l =   40
  tausk =   10
  doall =    1
  denswp=   50
  histno=   49
   iran =    -6562683
     t  =  1.00000000
    mu  =  0.00000000
  delmu =  0.00000000
  bpar =   0.00000000
  dtau  =  0.05000000
 warms  =  1000
 sweeps =  1000
      u =  8.000000000000
  nwrap =     4
difflim =  0.001000000000
 errrat =  0.010000000000
 doauto =     0
orthlen =    12
  eorth =  0.000000000100
 dopair =     1
numpair =     1
lambda =   0.653732997987
  start =           0
 after disorder set, iran =     -6562683
   
 Using mu =   0.000000000000
   0    0.0946476534 +-   0.0012322853
   1    0.0728270188 +-   0.0011897520
   2    0.0559822666 +-   0.0011179200
   3    0.0431609052 +-   0.0010376736
   4    0.0332363284 +-   0.0009222065
   5    0.0255929935 +-   0.0009006440
   6    0.0198161907 +-   0.0008597713
   7    0.0153067378 +-   0.0008665129
   8    0.0118822667 +-   0.0008745431
   9    0.0091697367 +-   0.0008133299
  10    0.0067896592 +-   0.0007392395
  11    0.0049853790 +-   0.0006557437
  12    0.0035387058 +-   0.0005992516
  13    0.0023846399 +-   0.0005024925
  14    0.0014560995 +-   0.0004239713
  15    0.0007503165 +-   0.0003864826
  16    0.0002632843 +-   0.0004091684
  17   -0.0000560428 +-   0.0004469126
  18   -0.0004584840 +-   0.0004911929
  19   -0.0006195610 +-   0.0005515678
  20   -0.0008069208 +-   0.0005579478
  21   -0.0008728949 +-   0.0005216721
  22   -0.0010425405 +-   0.0004824570
  23   -0.0011813977 +-   0.0004210636
  24   -0.0014634738 +-   0.0003972210
  25   -0.0019449170 +-   0.0004347678
  26   -0.0023858951 +-   0.0005329667
  27   -0.0031283060 +-   0.0006308931
  28   -0.0041445931 +-   0.0006856305
  29   -0.0054458305 +-   0.0007704691
  30   -0.0071816037 +-   0.0008227510
  31   -0.0093292502 +-   0.0008521127
  32   -0.0120942328 +-   0.0008625906
  33   -0.0156166709 +-   0.0009070108
  34   -0.0201080655 +-   0.0009141632
  35   -0.0259695764 +-   0.0009273558
  36   -0.0335016027 +-   0.0010190062
  37   -0.0431907098 +-   0.0010984725
  38   -0.0558596081 +-   0.0011518768
  39   -0.0726521378 +-   0.0012197397
  40   -0.0946476534 +-   0.0012322853
 nx =            0  ny =            2
   0    0.0000413837 +-   0.0003457819
   1    0.0024364666 +-   0.0003380694
   2    0.0039468711 +-   0.0003145437
   3    0.0048762676 +-   0.0002891950
   4    0.0053270266 +-   0.0002576995
   5    0.0054987491 +-   0.0002380480
   6    0.0055155311 +-   0.0002032347
   7    0.0054165965 +-   0.0001984028
   8    0.0052400981 +-   0.0002154933
   9    0.0050387682 +-   0.0002476334
  10    0.0048085020 +-   0.0003024269
  11    0.0045675498 +-   0.0003198207
  12    0.0043222262 +-   0.0003392614
  13    0.0041331199 +-   0.0003495028
  14    0.0039534601 +-   0.0003329952
  15    0.0037964698 +-   0.0003093160
  16    0.0036892346 +-   0.0002905367
  17    0.0036077867 +-   0.0002776146
  18    0.0035426644 +-   0.0002729763
  19    0.0035479993 +-   0.0002850078
  20    0.0035811464 +-   0.0002682844
  21    0.0036447502 +-   0.0002653302
  22    0.0037534118 +-   0.0002657621
  23    0.0038715982 +-   0.0002723172
  24    0.0040811474 +-   0.0003002693
  25    0.0042508881 +-   0.0003315953
  26    0.0044847662 +-   0.0003684454
  27    0.0046530410 +-   0.0003841812
  28    0.0048382075 +-   0.0004084707
  29    0.0050576366 +-   0.0004126100
  30    0.0052506847 +-   0.0004266716
  31    0.0054583738 +-   0.0004234250
  32    0.0055687047 +-   0.0004188936
  33    0.0057301980 +-   0.0004356893
  34    0.0057858961 +-   0.0004190626
  35    0.0057343543 +-   0.0004117068
  36    0.0055101505 +-   0.0003918134
  37    0.0049585199 +-   0.0003687664
  38    0.0039453314 +-   0.0003646536
  39    0.0023583191 +-   0.0003550649
  40   -0.0000413837 +-   0.0003457819
 nx =            0  ny =            3
   0   -0.0015831870 +-   0.0001943698
   1   -0.0015142384 +-   0.0001896137
   2   -0.0013701360 +-   0.0001867662
   3   -0.0012106300 +-   0.0001950146
   4   -0.0010406152 +-   0.0001991385
   5   -0.0008935058 +-   0.0002075346
   6   -0.0007349661 +-   0.0002202633
   7   -0.0006190481 +-   0.0002297787
   8   -0.0004872470 +-   0.0002390242
   9   -0.0003894662 +-   0.0002136440
  10   -0.0002856641 +-   0.0001844695
  11   -0.0002153473 +-   0.0001649987
  12   -0.0001791837 +-   0.0001578193
  13   -0.0001271792 +-   0.0001531019
  14   -0.0000937476 +-   0.0001569247
  15   -0.0000559475 +-   0.0001512846
  16   -0.0000034918 +-   0.0001348350
  17    0.0000173478 +-   0.0001226952
  18    0.0000283491 +-   0.0001152703
  19    0.0000459122 +-   0.0001243990
  20    0.0000621352 +-   0.0001331631
  21    0.0000972787 +-   0.0001517728
  22    0.0001146290 +-   0.0001624208
  23    0.0001699895 +-   0.0001687705
  24    0.0002258745 +-   0.0001756798
  25    0.0002804545 +-   0.0001860508
  26    0.0002991355 +-   0.0001781975
  27    0.0003378301 +-   0.0001862946
  28    0.0003532016 +-   0.0001969448
  29    0.0003623170 +-   0.0002007208
  30    0.0003763656 +-   0.0002186102
  31    0.0004231794 +-   0.0002206546
  32    0.0004724904 +-   0.0002283758
  33    0.0005761076 +-   0.0002161992
  34    0.0007033687 +-   0.0002081796
  35    0.0008661856 +-   0.0001850522
  36    0.0010495685 +-   0.0001710577
  37    0.0012330090 +-   0.0001744142
  38    0.0014196181 +-   0.0001835354
  39    0.0015504568 +-   0.0001925847
  40    0.0015831870 +-   0.0001943698
 nx =            0  ny =            4
   0   -0.0000000000 +-   0.0000000000
   1   -0.0000571410 +-   0.0000124034
   2   -0.0001098520 +-   0.0000209184
   3   -0.0001594134 +-   0.0000291769
   4   -0.0001891213 +-   0.0000378041
   5   -0.0001965143 +-   0.0000504565
   6   -0.0001846608 +-   0.0000607620
   7   -0.0001758033 +-   0.0000748264
   8   -0.0001604101 +-   0.0000874504
   9   -0.0001436702 +-   0.0001003897
  10   -0.0001490671 +-   0.0001126303
  11   -0.0001708378 +-   0.0001226174
  12   -0.0001824874 +-   0.0001218621
  13   -0.0001966492 +-   0.0001258116
  14   -0.0002147277 +-   0.0001337405
  15   -0.0002210013 +-   0.0001475661
  16   -0.0001987182 +-   0.0001520356
  17   -0.0001832775 +-   0.0001505386
  18   -0.0001676868 +-   0.0001557370
  19   -0.0001484379 +-   0.0001612925
  20   -0.0001368768 +-   0.0001621676
  21   -0.0001484379 +-   0.0001612925
  22   -0.0001676868 +-   0.0001557370
  23   -0.0001832775 +-   0.0001505386
  24   -0.0001987182 +-   0.0001520356
  25   -0.0002210013 +-   0.0001475661
  26   -0.0002147277 +-   0.0001337405
  27   -0.0001966492 +-   0.0001258116
  28   -0.0001824874 +-   0.0001218621
  29   -0.0001708378 +-   0.0001226174
  30   -0.0001490671 +-   0.0001126303
  31   -0.0001436702 +-   0.0001003897
  32   -0.0001604101 +-   0.0000874504
  33   -0.0001758033 +-   0.0000748264
  34   -0.0001846608 +-   0.0000607620
  35   -0.0001965143 +-   0.0000504565
  36   -0.0001891213 +-   0.0000378041
  37   -0.0001594134 +-   0.0000291769
  38   -0.0001098520 +-   0.0000209184
  39   -0.0000571410 +-   0.0000124034
  40    0.0000000000 +-   0.0000000000
 nx =            1  ny =            1
   0    0.0001613045 +-   0.0003416339
   1    0.0051989855 +-   0.0004052342
   2    0.0083432012 +-   0.0004857928
   3    0.0103487668 +-   0.0005300740
   4    0.0116378136 +-   0.0006269815
   5    0.0122400434 +-   0.0006758526
   6    0.0123831526 +-   0.0006832183
   7    0.0122776040 +-   0.0007164470
   8    0.0119770411 +-   0.0007648926
   9    0.0115606317 +-   0.0007782044
  10    0.0110733270 +-   0.0008042648
  11    0.0105694018 +-   0.0007800892
  12    0.0099490542 +-   0.0007210812
  13    0.0093384782 +-   0.0006947266
  14    0.0087502515 +-   0.0006690015
  15    0.0083308207 +-   0.0006558957
  16    0.0079005376 +-   0.0006265813
  17    0.0076019175 +-   0.0005912321
  18    0.0074765718 +-   0.0006151569
  19    0.0073405420 +-   0.0006545311
  20    0.0072249654 +-   0.0006759340
  21    0.0070877922 +-   0.0006631133
  22    0.0071030516 +-   0.0006607820
  23    0.0071569457 +-   0.0006620478
  24    0.0073967970 +-   0.0006509957
  25    0.0076753655 +-   0.0006329531
  26    0.0079176933 +-   0.0006337334
  27    0.0083632895 +-   0.0006629557
  28    0.0088644467 +-   0.0006851469
  29    0.0092441552 +-   0.0006805141
  30    0.0096350104 +-   0.0006896780
  31    0.0101373383 +-   0.0006703875
  32    0.0105844366 +-   0.0006059358
  33    0.0109529694 +-   0.0005383136
  34    0.0112222051 +-   0.0004847702
  35    0.0112902595 +-   0.0004257296
  36    0.0109191907 +-   0.0003538223
  37    0.0099857009 +-   0.0003004771
  38    0.0080718244 +-   0.0002573996
  39    0.0048770692 +-   0.0002843593
  40   -0.0001613045 +-   0.0003416339
 nx =            1  ny =            2
   0   -0.0055137528 +-   0.0002907127
   1   -0.0052901667 +-   0.0002744931
   2   -0.0049059309 +-   0.0002547821
   3   -0.0044792157 +-   0.0002361115
   4   -0.0039859934 +-   0.0002183336
   5   -0.0034952255 +-   0.0002003214
   6   -0.0030441182 +-   0.0001869770
   7   -0.0025851938 +-   0.0001699005
   8   -0.0022013800 +-   0.0001516921
   9   -0.0018618476 +-   0.0001365542
  10   -0.0015829488 +-   0.0001450412
  11   -0.0013441655 +-   0.0001528731
  12   -0.0011178131 +-   0.0001619831
  13   -0.0008512018 +-   0.0001622584
  14   -0.0006165834 +-   0.0001603969
  15   -0.0004065447 +-   0.0001597709
  16   -0.0002125694 +-   0.0001877274
  17   -0.0000552066 +-   0.0002183680
  18    0.0000889802 +-   0.0002519951
  19    0.0002030763 +-   0.0002516487
  20    0.0003060410 +-   0.0002869710
  21    0.0003323696 +-   0.0002545435
  22    0.0004207937 +-   0.0002593315
  23    0.0004900213 +-   0.0002513790
  24    0.0005344789 +-   0.0002489491
  25    0.0005898621 +-   0.0002444835
  26    0.0006345134 +-   0.0002421822
  27    0.0007644068 +-   0.0002478449
  28    0.0008840081 +-   0.0002420869
  29    0.0010241989 +-   0.0002472476
  30    0.0012785108 +-   0.0002544348
  31    0.0015803026 +-   0.0002547941
  32    0.0019240228 +-   0.0002602487
  33    0.0023562717 +-   0.0002680348
  34    0.0028638406 +-   0.0002557173
  35    0.0033454074 +-   0.0002650408
  36    0.0038652803 +-   0.0002648724
  37    0.0044200496 +-   0.0002705099
  38    0.0049405963 +-   0.0002935425
  39    0.0053592806 +-   0.0002912739
  40    0.0055137528 +-   0.0002907127
 nx =            1  ny =            3
   0   -0.0000878147 +-   0.0000659207
   1   -0.0002193555 +-   0.0000820156
   2   -0.0003276721 +-   0.0000913953
   3   -0.0004345440 +-   0.0000875203
   4   -0.0005208908 +-   0.0000870390
   5   -0.0005825851 +-   0.0000846284
   6   -0.0006516135 +-   0.0000915899
   7   -0.0006968025 +-   0.0001038643
   8   -0.0007349162 +-   0.0001181164
   9   -0.0007478184 +-   0.0001340208
  10   -0.0007324252 +-   0.0001382598
  11   -0.0007230298 +-   0.0001523675
  12   -0.0007048156 +-   0.0001552433
  13   -0.0006606434 +-   0.0001575366
  14   -0.0006159809 +-   0.0001521570
  15   -0.0005603294 +-   0.0001622655
  16   -0.0005206745 +-   0.0001584667
  17   -0.0005176314 +-   0.0001540978
  18   -0.0004965685 +-   0.0001375888
  19   -0.0004908404 +-   0.0001262091
  20   -0.0004977762 +-   0.0001139190
  21   -0.0004783421 +-   0.0001132261
  22   -0.0004314083 +-   0.0001128471
  23   -0.0004191404 +-   0.0001111437
  24   -0.0004430965 +-   0.0000951772
  25   -0.0004733214 +-   0.0000851651
  26   -0.0005132704 +-   0.0000803836
  27   -0.0005458385 +-   0.0000746297
  28   -0.0005396051 +-   0.0000771982
  29   -0.0005256553 +-   0.0000790362
  30   -0.0005250011 +-   0.0000718579
  31   -0.0005374926 +-   0.0000720738
  32   -0.0005479019 +-   0.0000818848
  33   -0.0005352651 +-   0.0000827782
  34   -0.0004868597 +-   0.0000788173
  35   -0.0004289188 +-   0.0000769111
  36   -0.0003426256 +-   0.0000699232
  37   -0.0002584734 +-   0.0000683936
  38   -0.0001666613 +-   0.0000617724
  39   -0.0000403433 +-   0.0000568810
  40    0.0000878147 +-   0.0000659207
 nx =            1  ny =            4
   0    0.0005668081 +-   0.0000961779
   1    0.0005718695 +-   0.0001017745
   2    0.0005459255 +-   0.0000944764
   3    0.0005270491 +-   0.0000874595
   4    0.0004911516 +-   0.0000768101
   5    0.0004426515 +-   0.0000733166
   6    0.0003819346 +-   0.0000649183
   7    0.0003341313 +-   0.0000621187
   8    0.0002825520 +-   0.0000628134
   9    0.0002483652 +-   0.0000627072
  10    0.0002017104 +-   0.0000603799
  11    0.0001553233 +-   0.0000556424
  12    0.0001089306 +-   0.0000452955
  13    0.0000587040 +-   0.0000396368
  14    0.0000312172 +-   0.0000370456
  15    0.0000218596 +-   0.0000358900
  16   -0.0000030710 +-   0.0000423953
  17   -0.0000239755 +-   0.0000516237
  18   -0.0000563639 +-   0.0000635483
  19   -0.0000923999 +-   0.0000744010
  20   -0.0001133801 +-   0.0000714508
  21   -0.0001377586 +-   0.0000709667
  22   -0.0001685847 +-   0.0000718974
  23   -0.0001745346 +-   0.0000717464
  24   -0.0001904925 +-   0.0000727790
  25   -0.0001984056 +-   0.0000770000
  26   -0.0002021931 +-   0.0000700647
  27   -0.0002219757 +-   0.0000684124
  28   -0.0002431505 +-   0.0000672310
  29   -0.0002573814 +-   0.0000694158
  30   -0.0002621506 +-   0.0000677495
  31   -0.0002959154 +-   0.0000637946
  32   -0.0003218153 +-   0.0000547498
  33   -0.0003441628 +-   0.0000446477
  34   -0.0003707990 +-   0.0000411442
  35   -0.0004089960 +-   0.0000404439
  36   -0.0004358648 +-   0.0000465008
  37   -0.0004604330 +-   0.0000555367
  38   -0.0005017443 +-   0.0000672233
  39   -0.0005411534 +-   0.0000814964
  40   -0.0005668081 +-   0.0000961779
 nx =            2  ny =            2
   0    0.0000741838 +-   0.0000850783
   1   -0.0001947338 +-   0.0000705469
   2   -0.0004502750 +-   0.0000708973
   3   -0.0006792180 +-   0.0000784775
   4   -0.0008842599 +-   0.0001021624
   5   -0.0010088045 +-   0.0001175562
   6   -0.0011065021 +-   0.0001262398
   7   -0.0011608149 +-   0.0001401824
   8   -0.0011994760 +-   0.0001555426
   9   -0.0012420690 +-   0.0001700339
  10   -0.0012660643 +-   0.0001813891
  11   -0.0013121674 +-   0.0001861440
  12   -0.0013518363 +-   0.0001997487
  13   -0.0013398893 +-   0.0002215521
  14   -0.0013606568 +-   0.0002416410
  15   -0.0013293518 +-   0.0002532832
  16   -0.0013028787 +-   0.0002537746
  17   -0.0012523387 +-   0.0002438403
  18   -0.0012287750 +-   0.0002230626
  19   -0.0011736088 +-   0.0002029722
  20   -0.0011398449 +-   0.0001805699
  21   -0.0011425435 +-   0.0001697333
  22   -0.0011297953 +-   0.0001601817
  23   -0.0011188684 +-   0.0001547115
  24   -0.0011448211 +-   0.0001520672
  25   -0.0011593793 +-   0.0001417658
  26   -0.0011754518 +-   0.0001413163
  27   -0.0011975388 +-   0.0001471019
  28   -0.0012185781 +-   0.0001499060
  29   -0.0012294015 +-   0.0001589768
  30   -0.0012391330 +-   0.0001592570
  31   -0.0012344143 +-   0.0001676264
  32   -0.0012294984 +-   0.0001809548
  33   -0.0011686372 +-   0.0001884624
  34   -0.0010884913 +-   0.0002087295
  35   -0.0009724283 +-   0.0002085410
  36   -0.0008779166 +-   0.0001875152
  37   -0.0007231209 +-   0.0001757924
  38   -0.0005426838 +-   0.0001414561
  39   -0.0003314063 +-   0.0001054690
  40   -0.0000741838 +-   0.0000850783
 nx =            2  ny =            3
   0    0.0004266203 +-   0.0000861202
   1    0.0004371437 +-   0.0000687601
   2    0.0004337454 +-   0.0000580338
   3    0.0004452649 +-   0.0000543158
   4    0.0004354534 +-   0.0000557035
   5    0.0003989267 +-   0.0000544279
   6    0.0003591927 +-   0.0000547874
   7    0.0003333137 +-   0.0000645754
   8    0.0003098775 +-   0.0000702021
   9    0.0002874067 +-   0.0000728062
  10    0.0002528308 +-   0.0000756977
  11    0.0002260830 +-   0.0000800809
  12    0.0001913426 +-   0.0000816883
  13    0.0001571396 +-   0.0000926599
  14    0.0000958696 +-   0.0001000397
  15    0.0000405804 +-   0.0001031401
  16    0.0000131217 +-   0.0001066773
  17    0.0000034439 +-   0.0001037374
  18   -0.0000372602 +-   0.0001039433
  19   -0.0000549492 +-   0.0000984505
  20   -0.0000564876 +-   0.0000917317
  21   -0.0000578270 +-   0.0000878101
  22   -0.0000627433 +-   0.0000826774
  23   -0.0000651400 +-   0.0000778785
  24   -0.0000649283 +-   0.0000759776
  25   -0.0000762299 +-   0.0000828280
  26   -0.0000782606 +-   0.0000875209
  27   -0.0000970717 +-   0.0000857433
  28   -0.0001160644 +-   0.0000787488
  29   -0.0001398867 +-   0.0000827916
  30   -0.0001629378 +-   0.0000841071
  31   -0.0001989958 +-   0.0000901067
  32   -0.0002395493 +-   0.0000939264
  33   -0.0002751013 +-   0.0000905489
  34   -0.0002952544 +-   0.0000877521
  35   -0.0003098899 +-   0.0000930574
  36   -0.0003218797 +-   0.0000978879
  37   -0.0003391148 +-   0.0001045655
  38   -0.0003762069 +-   0.0001041071
  39   -0.0004034149 +-   0.0001010525
  40   -0.0004266203 +-   0.0000861202
 nx =            2  ny =            4
   0   -0.0000218055 +-   0.0000326697
   1   -0.0000011902 +-   0.0000286924
   2    0.0000324216 +-   0.0000264489
   3    0.0000525419 +-   0.0000280105
   4    0.0000804844 +-   0.0000315705
   5    0.0001028934 +-   0.0000317400
   6    0.0001167849 +-   0.0000301506
   7    0.0001330734 +-   0.0000280017
   8    0.0001475579 +-   0.0000267015
   9    0.0001667957 +-   0.0000286433
  10    0.0001863925 +-   0.0000323102
  11    0.0002020430 +-   0.0000358794
  12    0.0002150054 +-   0.0000346452
  13    0.0002215259 +-   0.0000351461
  14    0.0002341862 +-   0.0000354052
  15    0.0002357698 +-   0.0000317108
  16    0.0002328671 +-   0.0000330914
  17    0.0002371972 +-   0.0000368384
  18    0.0002350201 +-   0.0000377311
  19    0.0002323123 +-   0.0000416032
  20    0.0002281128 +-   0.0000411703
  21    0.0002074454 +-   0.0000394804
  22    0.0001809953 +-   0.0000407007
  23    0.0001760807 +-   0.0000426971
  24    0.0001661204 +-   0.0000444801
  25    0.0001542354 +-   0.0000445299
  26    0.0001498110 +-   0.0000431826
  27    0.0001530356 +-   0.0000416579
  28    0.0001522965 +-   0.0000417004
  29    0.0001475137 +-   0.0000438503
  30    0.0001444836 +-   0.0000432096
  31    0.0001378207 +-   0.0000427461
  32    0.0001349532 +-   0.0000398796
  33    0.0001238011 +-   0.0000389288
  34    0.0001119340 +-   0.0000398078
  35    0.0000972184 +-   0.0000399187
  36    0.0000843030 +-   0.0000405314
  37    0.0000717257 +-   0.0000390096
  38    0.0000615325 +-   0.0000373067
  39    0.0000465541 +-   0.0000327258
  40    0.0000218055 +-   0.0000326697
 nx =            3  ny =            3
   0    0.0000422601 +-   0.0000444806
   1    0.0000689464 +-   0.0000479276
   2    0.0000937969 +-   0.0000536497
   3    0.0001142648 +-   0.0000511195
   4    0.0001281747 +-   0.0000506696
   5    0.0001318659 +-   0.0000550733
   6    0.0001372656 +-   0.0000598905
   7    0.0001338117 +-   0.0000620910
   8    0.0001317826 +-   0.0000592183
   9    0.0001303941 +-   0.0000557273
  10    0.0001345523 +-   0.0000529216
  11    0.0001413584 +-   0.0000558635
  12    0.0001450171 +-   0.0000588332
  13    0.0001562902 +-   0.0000611382
  14    0.0001732507 +-   0.0000645259
  15    0.0001846596 +-   0.0000700259
  16    0.0001894938 +-   0.0000747205
  17    0.0001962384 +-   0.0000771575
  18    0.0002119436 +-   0.0000810849
  19    0.0002171048 +-   0.0000820435
  20    0.0002131125 +-   0.0000810530
  21    0.0002048685 +-   0.0000801782
  22    0.0001975748 +-   0.0000780099
  23    0.0001990924 +-   0.0000795365
  24    0.0001939334 +-   0.0000764375
  25    0.0001816158 +-   0.0000743117
  26    0.0001521428 +-   0.0000717525
  27    0.0001357151 +-   0.0000617903
  28    0.0001246228 +-   0.0000564524
  29    0.0001206749 +-   0.0000558614
  30    0.0001159311 +-   0.0000617612
  31    0.0001143425 +-   0.0000708784
  32    0.0001097990 +-   0.0000800102
  33    0.0001096057 +-   0.0000883153
  34    0.0001019405 +-   0.0000963550
  35    0.0000811679 +-   0.0000948193
  36    0.0000675026 +-   0.0000964090
  37    0.0000420663 +-   0.0000805611
  38    0.0000105542 +-   0.0000623426
  39   -0.0000120739 +-   0.0000490963
  40   -0.0000422601 +-   0.0000444806
 nx =            3  ny =            4
   0   -0.0000353171 +-   0.0000398993
   1   -0.0000448634 +-   0.0000345635
   2   -0.0000498253 +-   0.0000315414
   3   -0.0000487581 +-   0.0000292382
   4   -0.0000441915 +-   0.0000252555
   5   -0.0000366377 +-   0.0000218193
   6   -0.0000302467 +-   0.0000204840
   7   -0.0000281471 +-   0.0000202463
   8   -0.0000225178 +-   0.0000196104
   9   -0.0000267859 +-   0.0000193327
  10   -0.0000300165 +-   0.0000225158
  11   -0.0000219090 +-   0.0000219761
  12   -0.0000126628 +-   0.0000216309
  13   -0.0000088031 +-   0.0000224277
  14   -0.0000052723 +-   0.0000247237
  15   -0.0000006956 +-   0.0000252742
  16    0.0000059909 +-   0.0000269362
  17    0.0000165926 +-   0.0000314589
  18    0.0000212496 +-   0.0000311731
  19    0.0000307386 +-   0.0000304994
  20    0.0000410056 +-   0.0000324571
  21    0.0000452560 +-   0.0000376416
  22    0.0000401755 +-   0.0000409688
  23    0.0000321910 +-   0.0000460567
  24    0.0000223912 +-   0.0000508353
  25    0.0000162286 +-   0.0000558142
  26   -0.0000001733 +-   0.0000610238
  27   -0.0000012953 +-   0.0000634452
  28    0.0000005923 +-   0.0000586201
  29   -0.0000005075 +-   0.0000583693
  30   -0.0000053605 +-   0.0000633275
  31   -0.0000068509 +-   0.0000578820
  32   -0.0000001924 +-   0.0000521494
  33    0.0000047636 +-   0.0000480294
  34    0.0000057137 +-   0.0000483713
  35    0.0000050724 +-   0.0000499022
  36    0.0000052500 +-   0.0000516927
  37    0.0000053084 +-   0.0000501379
  38    0.0000110035 +-   0.0000480818
  39    0.0000257035 +-   0.0000437855
  40    0.0000353171 +-   0.0000398993
 nx =            4  ny =            4
   0   -0.0000000000 +-   0.0000000000
   1   -0.0000082320 +-   0.0000037993
   2   -0.0000135573 +-   0.0000055342
   3   -0.0000189023 +-   0.0000097797
   4   -0.0000259408 +-   0.0000131629
   5   -0.0000257528 +-   0.0000154593
   6   -0.0000290990 +-   0.0000177569
   7   -0.0000342489 +-   0.0000173719
   8   -0.0000423127 +-   0.0000169457
   9   -0.0000498413 +-   0.0000187924
  10   -0.0000545985 +-   0.0000207570
  11   -0.0000574433 +-   0.0000228804
  12   -0.0000579895 +-   0.0000215753
  13   -0.0000572992 +-   0.0000206492
  14   -0.0000631703 +-   0.0000199058
  15   -0.0000646872 +-   0.0000188001
  16   -0.0000625978 +-   0.0000187760
  17   -0.0000594630 +-   0.0000181707
  18   -0.0000602387 +-   0.0000180842
  19   -0.0000597720 +-   0.0000191842
  20   -0.0000566153 +-   0.0000191869
  21   -0.0000597720 +-   0.0000191842
  22   -0.0000602387 +-   0.0000180842
  23   -0.0000594630 +-   0.0000181707
  24   -0.0000625978 +-   0.0000187760
  25   -0.0000646872 +-   0.0000188001
  26   -0.0000631703 +-   0.0000199058
  27   -0.0000572992 +-   0.0000206492
  28   -0.0000579895 +-   0.0000215753
  29   -0.0000574433 +-   0.0000228804
  30   -0.0000545985 +-   0.0000207570
  31   -0.0000498413 +-   0.0000187924
  32   -0.0000423127 +-   0.0000169457
  33   -0.0000342489 +-   0.0000173719
  34   -0.0000290990 +-   0.0000177569
  35   -0.0000257528 +-   0.0000154593
  36   -0.0000259408 +-   0.0000131629
  37   -0.0000189023 +-   0.0000097797
  38   -0.0000135573 +-   0.0000055342
  39   -0.0000082320 +-   0.0000037993
  40    0.0000000000 +-   0.0000000000
 G(qx,qy,ti):
 qx =            0  qy =            0
   0   -0.1651115908 +-   0.0027087090
   1   -0.1343741128 +-   0.0025372239
   2   -0.1120391050 +-   0.0020895028
   3   -0.0943995745 +-   0.0019378502
   4   -0.0800117069 +-   0.0022172970
   5   -0.0686645839 +-   0.0022175183
   6   -0.0596211003 +-   0.0023661160
   7   -0.0522307583 +-   0.0026397301
   8   -0.0469199886 +-   0.0028110103
   9   -0.0423556341 +-   0.0027053174
  10   -0.0387003819 +-   0.0024920550
  11   -0.0361689225 +-   0.0021030510
  12   -0.0347526306 +-   0.0019881659
  13   -0.0327100606 +-   0.0019182898
  14   -0.0306013469 +-   0.0018796951
  15   -0.0283156857 +-   0.0020414714
  16   -0.0268532216 +-   0.0022185582
  17   -0.0254641167 +-   0.0021065152
  18   -0.0244606264 +-   0.0019747275
  19   -0.0236665399 +-   0.0019275259
  20   -0.0231497783 +-   0.0021135479
  21   -0.0239855073 +-   0.0019778898
  22   -0.0249747699 +-   0.0022051936
  23   -0.0269369238 +-   0.0023078037
